Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
